split,image_path,label_path,class_id,class_name,x_center,y_center,bbox_w,bbox_h,bbox_area,bbox_aspect_ratio,brightness,contrast
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_1.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_1.txt,2,basty,0.252344,0.535156,0.235937,0.314063,0.074099082031,0.7512409930491654,145.6053369140625,79.65897977885464
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_10.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_10.txt,2,basty,0.405469,0.188281,0.282813,0.373437,0.105612838281,0.757324528635352,140.04150634765625,76.03884045146647
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_100.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_100.txt,2,basty,0.834375,0.204687,0.253125,0.340625,0.08622070312499999,0.7431192660550459,116.38802978515625,82.07705299708691
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_103.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_103.txt,2,basty,0.44375,0.805469,0.25625,0.342187,0.08768541875,0.7488595417125723,149.4225341796875,72.97305859217279
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_104.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_104.txt,2,basty,0.440625,0.203906,0.25625,0.335938,0.08608411249999999,0.7627895623597211,105.577724609375,72.97205217968579
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_105.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_105.txt,2,basty,0.384375,0.654687,0.240625,0.321875,0.077451171875,0.7475728155339806,140.0956591796875,72.39621143662166
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_106.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_106.txt,2,basty,0.619531,0.651563,0.232813,0.3125,0.0727540625,0.7450015999999999,140.09746826171875,72.39344590632403
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_107.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_107.txt,2,basty,0.378125,0.346875,0.246875,0.315625,0.077919921875,0.7821782178217822,140.09544921875,72.39571480591334
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_109.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_109.txt,2,basty,0.198437,0.6625,0.26875,0.35,0.0940625,0.7678571428571429,143.202734375,74.83631511442827
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_11.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_11.txt,2,basty,0.586719,0.813281,0.279687,0.373437,0.10444547421900001,0.7489536387663783,140.0444189453125,76.03707707071135
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_111.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_111.txt,2,basty,0.201563,0.339844,0.26875,0.360938,0.09700208749999999,0.7445877131252459,143.20470703125,74.83524246605494
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_112.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_112.txt,2,basty,0.203906,0.6625,0.273438,0.346875,0.09484880625,0.7882897297297298,111.79687255859375,74.83409571400186
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_113.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_113.txt,2,basty,0.73125,0.527344,0.278125,0.382812,0.1064695875,0.72653156118408,132.788798828125,79.64329195629291
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_115.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_115.txt,2,basty,0.727344,0.467969,0.276562,0.392188,0.10846429765599999,0.7051771089375504,132.7883740234375,79.64850865674084
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_116.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_116.txt,2,basty,0.728906,0.525781,0.273438,0.382812,0.104675347656,0.7142879533556943,122.2107666015625,79.64417327843444
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_117.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_117.txt,2,basty,0.284375,0.410156,0.275,0.354687,0.097538925,0.7753314894540821,136.07622314453124,70.92337733243721
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_118.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_118.txt,2,basty,0.7125,0.4125,0.278125,0.35,0.09734374999999999,0.7946428571428572,136.0790087890625,70.92441882963998
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_119.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_119.txt,2,basty,0.282813,0.589063,0.271875,0.353125,0.096005859375,0.7699115044247786,136.0762255859375,70.92035241681808
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_12.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_12.txt,2,basty,0.592187,0.1875,0.28125,0.371875,0.10458984375000001,0.7563025210084033,114.9590283203125,76.0380649755615
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_120.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_120.txt,2,basty,0.284375,0.409375,0.275,0.35,0.09625,0.7857142857142858,118.923935546875,70.92346392208141
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_121.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_121.txt,2,basty,0.252344,0.792969,0.264062,0.342187,0.09035858359400001,0.7716891641120206,143.41237548828124,77.44092832952545
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_123.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_123.txt,2,basty,0.254688,0.207031,0.2625,0.348438,0.091464975,0.7533621476417612,143.4098974609375,77.44002276389826
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_124.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_124.txt,2,basty,0.252344,0.790625,0.267188,0.35625,0.095185725,0.7500014035087719,111.58925048828125,77.4378118573141
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_126.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_126.txt,2,basty,0.211719,0.483594,0.285938,0.389062,0.11124761015600002,0.7349419886804675,122.477216796875,82.15313028065351
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_127.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_127.txt,2,basty,0.785937,0.519531,0.28125,0.401562,0.1129393125,0.7003899771392712,122.47783447265626,82.15059278198537
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_128.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_128.txt,2,basty,0.794531,0.485938,0.285938,0.39375,0.1125880875,0.7261917460317461,132.5212255859375,82.15262986307751
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_129.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_129.txt,2,basty,0.242188,0.432812,0.26875,0.3375,0.090703125,0.7962962962962962,139.29600341796876,76.78398875637963
