split,image_path,label_path,width,height,brightness,contrast,objects_count,has_label
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_1.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_1.txt,640,640,145.6053369140625,79.65897977885464,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_10.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_10.txt,640,640,140.04150634765625,76.03884045146647,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_100.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_100.txt,640,640,116.38802978515625,82.07705299708691,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_103.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_103.txt,640,640,149.4225341796875,72.97305859217279,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_104.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_104.txt,640,640,105.577724609375,72.97205217968579,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_105.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_105.txt,640,640,140.0956591796875,72.39621143662166,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_106.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_106.txt,640,640,140.09746826171875,72.39344590632403,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_107.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_107.txt,640,640,140.09544921875,72.39571480591334,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_109.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_109.txt,640,640,143.202734375,74.83631511442827,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_11.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_11.txt,640,640,140.0444189453125,76.03707707071135,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_111.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_111.txt,640,640,143.20470703125,74.83524246605494,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_112.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_112.txt,640,640,111.79687255859375,74.83409571400186,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_113.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_113.txt,640,640,132.788798828125,79.64329195629291,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_115.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_115.txt,640,640,132.7883740234375,79.64850865674084,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_116.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_116.txt,640,640,122.2107666015625,79.64417327843444,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_117.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_117.txt,640,640,136.07622314453124,70.92337733243721,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_118.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_118.txt,640,640,136.0790087890625,70.92441882963998,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_119.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_119.txt,640,640,136.0762255859375,70.92035241681808,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_12.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_12.txt,640,640,114.9590283203125,76.0380649755615,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_120.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_120.txt,640,640,118.923935546875,70.92346392208141,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_121.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_121.txt,640,640,143.41237548828124,77.44092832952545,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_123.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_123.txt,640,640,143.4098974609375,77.44002276389826,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_124.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_124.txt,640,640,111.58925048828125,77.4378118573141,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_126.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_126.txt,640,640,122.477216796875,82.15313028065351,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_127.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_127.txt,640,640,122.47783447265626,82.15059278198537,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_128.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_128.txt,640,640,132.5212255859375,82.15262986307751,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_129.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_129.txt,640,640,139.29600341796876,76.78398875637963,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_13.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_13.txt,640,640,142.38977783203126,64.97948808340598,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_130.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_130.txt,640,640,139.295830078125,76.7825345155732,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_131.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_131.txt,640,640,139.29455322265625,76.77923718884792,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_132.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_132.txt,640,640,115.70583740234375,76.78262701061547,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_133.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_133.txt,640,640,149.65093017578124,76.52340617574657,1,True
train,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\images\train\basty_134.jpg,C:\Users\Ansagan\Documents\Ansagan\Ansagan\dataset\labels\train\basty_134.txt,640,640,149.65276611328125,76.52136737829716,1,True
